Years of sample collection,Elephant ID,Sex,Estimated age (years),Shoulder height (cm),Tusk length (cm),Tusk circumference (cm)
2005-13,38,m,3.5,160.0,38.2,11.0
2005-13,70,m,3.5,190.0,42.0,14.0
2005-13,85,m,3.5,180.0,53.7,15.0
2005-13,114,m,3.5,180.0,48.5,15.0
2005-13,125,m,3.5,180.0,45.9,13.0
2005-13,24,m,4.5,170.0,44.6,19.0
2005-13,71,m,4.5,200.0,43.3,12.0
2005-13,110,m,4.5,190.0,73.1,20.0
2005-13,122,m,4.5,190.0,55.0,14.0
2005-13,5,m,5.5,240.0,91.2,26.0
2005-13,83,m,5.5,200.0,60.1,17.0
2005-13,33,m,6.0,220.0,74.4,20.0
2005-13,123,m,6.5,180.0,43.3,12.0
2005-13,145,m,6.5,200.0,53.7,10.0
2005-13,17,m,7.5,190.0,65.3,20.0
2005-13,22,m,7.5,210.0,62.7,20.0
2005-13,43,m,7.5,180.0,51.1,17.0
2005-13,53,m,7.5,220.0,78.3,22.0
2005-13,76,m,7.5,210.0,75.7,20.0
2005-13,78,m,7.5,220.0,84.7,19.0
2005-13,144,m,7.5,220.0,58.9,15.0
2005-13,1,m,9.0,220.0,99.0,30.0
2005-13,48,m,9.0,230.0,105.4,23.0
2005-13,105,m,9.0,210.0,79.6,17.0
2005-13,92,m,17.5,280.0,130.0,28.0
2005-13,150,m,17.5,280.0,108.0,28.0
2005-13,28,m,22.5,270.0,136.5,30.0
2005-13,14,m,27.5,270.0,104.1,26.0
2005-13,15,m,27.5,260.0,88.6,27.0
2005-13,87,m,27.5,300.0,124.8,35.0
2005-13,50,m,32.5,300.0,131.3,34.0
2005-13,88,m,32.5,290.0,162.3,40.0
2005-13,51,m,37.5,270.0,113.2,40.0
2005-13,86,m,37.5,310.0,175.3,38.0
2005-13,89,m,37.5,300.0,188.2,40.0
2005-13,95,m,37.5,330.0,127.4,38.0
2005-13,138,m,37.5,290.0,207.6,40.0
2005-13,91,m,42.5,320.0,214.1,46.0
2005-13,93,m,42.5,310.0,162.3,42.0
2005-13,94,m,52.5,330.0,219.3,42.0
